station,date,total_case
9604,2021-06-21,0
9604,2021-06-28,0
9604,2021-07-05,0
9604,2021-07-12,0
9604,2021-07-19,0
9604,2021-07-26,0
9604,2021-08-02,0
9604,2021-08-09,0
9604,2021-08-16,0
9604,2021-08-23,0
9604,2021-08-30,0
9604,2021-09-06,0
9604,2021-09-13,0
9604,2021-09-20,0
9604,2021-09-27,0
9604,2021-10-04,0
9604,2021-10-11,0
9604,2021-10-18,0
9604,2021-10-25,0
9604,2021-11-01,0
9604,2021-11-08,0
9604,2021-11-15,0
9604,2021-11-22,0
9604,2021-11-29,0
9604,2021-12-06,0
9604,2021-12-13,0
9604,2021-12-20,0
9604,2021-12-27,0
9604,2022-01-03,0
9604,2022-01-10,0
9604,2022-01-17,0
9604,2022-01-24,0
9604,2022-01-31,0
9604,2022-02-07,0
9604,2022-02-14,0
9604,2022-02-21,0
9604,2022-02-28,0
9604,2022-03-07,0
9604,2022-03-14,0
9604,2022-03-21,0
9604,2022-03-28,0
9604,2022-04-04,0
9604,2022-04-11,0
9604,2022-04-18,0
9604,2022-04-25,1
9604,2022-05-02,0
9604,2022-05-09,0
9604,2022-05-16,0
9604,2022-05-23,0
9604,2022-05-30,0
9604,2022-06-06,0
9604,2022-06-13,1
9604,2022-06-20,4
9604,2022-06-27,6
9604,2022-07-04,4
9604,2022-07-11,6
9604,2022-07-18,1
9604,2022-07-25,1
9604,2022-08-01,6
9604,2022-08-08,5
9604,2022-08-15,5
9604,2022-08-22,9
9604,2022-08-29,0
9604,2022-09-05,2
9604,2022-09-12,4
9604,2022-09-19,2
9604,2022-09-26,7
9604,2022-10-03,5
9604,2022-10-10,4
9604,2022-10-17,7
9604,2022-10-24,5
9604,2022-10-31,6
9604,2022-11-07,1
9604,2022-11-14,2
9604,2022-11-21,2
9604,2022-11-28,1
9604,2022-12-05,1
9604,2022-12-12,1
9604,2022-12-19,0
9604,2022-12-26,1
9604,2023-01-02,3
9604,2023-01-09,2
9604,2023-01-16,0
9604,2023-01-23,1
9604,2023-01-30,1
9604,2023-02-06,0
9604,2023-02-13,5
9604,2023-02-20,1
9604,2023-02-27,4
9604,2023-03-06,0
9604,2023-03-13,5
9604,2023-03-20,0
9604,2023-03-27,2
9604,2023-04-03,8
9604,2023-04-10,3
9604,2023-04-17,1
9604,2023-04-24,4
9604,2023-05-01,6
9604,2023-05-08,1
9604,2023-05-15,1
9604,2023-05-22,0
9604,2023-05-29,0
9604,2023-06-05,3
9604,2023-06-12,2
9604,2023-06-19,2
9604,2023-06-26,8
9604,2023-07-03,6
9604,2023-07-10,2
9604,2023-07-17,9
9604,2023-07-24,0
9604,2023-07-31,3
9604,2023-08-07,6
9604,2023-08-14,1
9604,2023-08-21,4
9604,2023-08-28,5
9604,2023-09-04,8
9604,2023-09-11,8
9604,2023-09-18,5
9604,2023-09-25,9
9604,2023-10-02,8
9604,2023-10-09,8
9604,2023-10-16,5
9604,2023-10-23,5
9604,2023-10-30,15
9604,2023-11-06,9
9604,2023-11-13,5
9604,2023-11-20,9
9604,2023-11-27,9
9604,2023-12-04,8
9604,2023-12-11,4
9604,2023-12-18,4
9604,2023-12-25,4
9605,2019-01-14,2
9605,2019-01-21,1
9605,2019-01-28,1
9605,2019-02-04,5
9605,2019-02-11,5
9605,2019-02-18,4
9605,2019-02-25,1
9605,2019-03-04,6
9605,2019-03-11,3
9605,2019-03-18,2
9605,2019-03-25,3
9605,2019-04-01,14
9605,2019-04-08,1
9605,2019-04-15,2
9605,2019-04-22,2
9605,2019-04-29,0
9605,2019-05-06,2
9605,2019-05-13,1
9605,2019-05-20,2
9605,2019-05-27,4
9605,2019-06-03,2
9605,2019-06-10,5
9605,2019-06-17,9
9605,2019-06-24,8
9605,2019-07-01,10
9605,2019-07-08,14
9605,2019-07-15,3
9605,2019-07-22,14
9605,2019-07-29,12
9605,2019-08-05,12
9605,2019-08-12,15
9605,2019-08-19,17
9605,2019-08-26,10
9605,2019-09-02,5
9605,2019-09-09,7
9605,2019-09-16,5
9605,2019-09-23,7
9605,2019-09-30,5
9605,2019-10-07,4
9605,2019-10-14,8
9605,2019-10-21,6
9605,2019-10-28,20
9605,2019-11-04,7
9605,2019-11-11,9
9605,2019-11-18,5
9605,2019-11-25,7
9605,2019-12-02,5
9605,2019-12-09,5
9605,2019-12-16,3
9605,2019-12-23,2
9605,2019-12-30,1
9605,2020-01-06,6
9605,2020-01-13,4
9605,2020-01-20,0
9605,2020-01-27,3
9605,2020-02-03,7
9605,2020-02-10,1
9605,2020-02-17,4
9605,2020-02-24,2
9605,2020-03-02,1
9605,2020-03-09,0
9605,2020-03-16,0
9605,2020-03-23,1
9605,2020-03-30,0
9605,2020-04-06,0
9605,2020-04-13,0
9605,2020-04-20,0
9605,2020-04-27,0
9605,2020-05-04,0
9605,2020-05-11,0
9605,2020-05-18,1
9605,2020-05-25,0
9605,2020-06-01,1
9605,2020-06-08,0
9605,2020-06-15,2
9605,2020-06-22,1
9605,2020-06-29,1
9605,2020-07-06,5
9605,2020-07-13,0
9605,2020-07-20,4
9605,2020-07-27,5
9605,2020-08-03,6
9605,2020-08-10,2
9605,2020-08-17,1
9605,2020-08-24,6
9605,2020-08-31,0
9605,2020-09-07,1
9605,2020-09-14,0
9605,2020-09-21,3
9605,2020-09-28,1
9605,2020-10-05,0
9605,2020-10-12,0
9605,2020-10-19,1
9605,2020-10-26,3
9605,2020-11-02,2
9605,2020-11-09,1
9605,2020-11-16,1
9605,2020-11-23,0
9605,2020-11-30,0
9605,2020-12-07,0
9605,2020-12-14,0
9605,2020-12-21,0
9605,2020-12-28,0
9605,2021-01-04,0
9605,2021-01-11,0
9605,2021-01-18,0
9605,2021-01-25,0
9605,2021-02-01,0
9605,2021-02-08,0
9605,2021-02-15,0
9605,2021-02-22,0
9605,2021-03-01,0
9605,2021-03-08,0
9605,2021-03-15,0
9605,2021-03-22,0
9605,2021-03-29,0
9605,2021-04-05,0
9605,2021-04-12,0
9605,2021-04-19,0
9605,2021-04-26,0
9605,2021-05-03,0
9605,2021-05-10,0
9605,2021-05-17,0
9605,2021-05-24,0
9605,2021-05-31,0
9605,2021-06-07,0
9605,2021-06-14,1
